Date,Day_of_Week,Transactions,Total_Sales,Temperature,Weather,Event,Prev_Day_Sales,Prev_Week_Sales,7d_Mov_Avg_Sales,Customer_Count,Avg_Check
2022-01-01,Saturday,31,2810.0587359254123,12.45071229516849,Sunny,New Year's Day,1017.7611878496404,11229.333427325902,,77.81280880735977,90.64705599759394
2022-01-02,Sunday,68,3065.9221754467394,2.9260354824322303,Snow,,2810.0587359254123,10200.21520912516,,199.74877100935825,45.087090815393225
2022-01-03,Monday,61,3368.8132911025837,14.715328071510388,Sunny,,3065.9221754467394,685.8633379005958,,206.34679722107873,55.226447395124325
2022-01-04,Tuesday,185,6437.145015819385,27.84544784612038,Cloudy,,3368.8132911025837,5867.347810606564,,472.1016745636522,34.79537846388857
2022-01-05,Wednesday,101,8425.507909200347,1.4876993791499604,Sunny,,6437.145015819385,11850.989938251481,,271.8029896590963,83.42087038812225
2022-01-06,Thursday,192,11247.637246687023,1.487945645762292,Cloudy,,8425.507909200347,3787.3727114593576,,539.536231361809,58.58144399316158
2022-01-07,Friday,54,4489.960210969985,28.688192232610874,Cloudy,,11247.637246687023,1017.7611878496404,5692.14922645021,174.51313577446751,83.14741131425899
2022-01-08,Saturday,177,16505.701191456792,16.511520937293632,Rain,,4489.960210969985,2810.0587359254123,7648.669577240407,555.8924999260578,93.25254910427566
2022-01-09,Sunday,177,8193.935392584968,-2.0421157890242814,Sunny,,16505.701191456792,3065.9221754467394,8381.24289397444,516.1220711109884,46.293420297090215
2022-01-10,Monday,153,13237.21148494088,13.13840065378947,Sunny,,8193.935392584968,3368.8132911025837,9791.014064522768,498.63754770653145,86.5177221237966
2022-01-11,Tuesday,86,2935.7452182710845,-1.9512653921869338,Sunny,,13237.21148494088,6437.145015819385,9290.81409344444,267.42826700249356,34.13657230547773
2022-01-12,Wednesday,99,9199.012400089114,-1.9859463035538534,Snow,,2935.7452182710845,8425.507909200347,9401.314734999978,336.2080391660647,92.91931717261731
2022-01-13,Thursday,26,1964.39875655692,8.629434073490511,Rain,,9199.012400089114,11247.637246687023,8075.137807838534,86.26869547760602,75.55379832911231
2022-01-14,Friday,199,18147.97826724724,-23.699203669866968,Cloudy,,1964.39875655692,4489.960210969985,10026.28324444957,547.809907611751,91.19587068968463
2022-01-15,Saturday,33,990.4352029757042,-20.873767487695492,Cloudy,,18147.97826724724,16505.701191456792,7809.816674666558,91.45747306192861,30.013187968960732
2022-01-16,Sunday,92,3848.8820930925917,-3.4343129386145907,Cloudy,,990.4352029757042,8193.935392584968,7189.094774739076,241.53279577289948,41.83567492491947
2022-01-17,Monday,162,9279.87145341642,-10.192466805016357,Sunny,,3848.8820930925917,13237.21148494088,6623.760484521296,459.5882855662279,57.28315711985444
2022-01-18,Tuesday,168,9502.954143686691,9.713709988929107,Snow,,9279.87145341642,2935.7452182710845,7561.9331881520975,587.9233783448078,56.5652032362303
2022-01-19,Wednesday,182,8348.545078445526,-8.620361132818163,Sunny,,9502.954143686691,9199.012400089114,7440.437856488727,528.8467126879411,45.87112680464575
2022-01-20,Thursday,85,4820.59104220984,-16.184555520029374,Sunny,,8348.545078445526,1964.39875655692,7848.465325867715,231.24151694857406,56.712835790704005
2022-01-21,Friday,110,4292.135082401962,26.98473153382331,Cloudy,,4820.59104220984,18147.97826724724,5869.059156604105,358.87311729231084,39.019409840017836
2022-01-22,Saturday,149,8775.098578244651,1.6133554927019653,Sunny,,4292.135082401962,990.4352029757042,6981.153924499669,453.32817951593574,58.89327904862182
2022-01-23,Sunday,182,15681.994153489028,6.012923070318857,Sunny,,8775.098578244651,3848.8820930925917,8671.598504556303,482.2274638139054,86.1648030411485
2022-01-24,Monday,39,2477.8612722721487,-16.371222793201852,Cloudy,,15681.994153489028,9279.87145341642,7699.882764392836,112.34689756527376,63.53490441723458
2022-01-25,Tuesday,29,906.5401805587865,-3.165740867877741,Sunny,,2477.8612722721487,9502.954143686691,6471.823626803134,84.51962175064095,31.26000622616505
2022-01-26,Wednesday,44,2618.047648064082,6.663838845647991,Cloudy,,906.5401805587865,8348.545078445526,5653.181136748643,143.16850682504563,59.50108291054732
2022-01-27,Thursday,44,1403.6990495598,-12.264903661334543,Sunny,,2618.047648064082,4820.59104220984,5165.053709227208,110.90954023124381,31.90225112635909
2022-01-28,Friday,73,7127.503828711739,10.63547027518508,Sunny,,1403.6990495598,4292.135082401962,5570.106387271463,202.13843421627666,97.63703874947588
2022-01-29,Saturday,52,2023.9324122992432,-4.009580348782075,Sunny,,7127.503828711739,8775.098578244651,4605.65407785069,156.91500766840716,38.92177715960083
2022-01-30,Sunday,183,14555.487460295228,0.6245937531008483,Sunny,,2023.9324122992432,15681.994153489028,4444.724550251575,506.6989538688703,79.53818284314332
2022-01-31,Monday,114,11182.755056678845,-4.025599183440955,Cloudy,,14555.487460295228,2477.8612722721487,5688.280805166818,356.6414814057659,98.094342602446
2022-02-01,Tuesday,33,2898.150209349781,32.78417276763407,Sunny,,11182.755056678845,906.5401805587865,5972.79652356553,98.40162681606235,87.82273361666003
2022-02-02,Wednesday,84,6631.9744057420785,4.797541628930992,Cloudy,,2898.150209349781,2618.047648064082,6546.2146318052455,240.38366140820477,78.95207625883427
2022-02-03,Thursday,129,11450.332012791925,-10.865663934338505,Sunny,,6631.9744057420785,1403.6990495598,7981.447912266977,444.9479128662961,88.76226366505368
2022-02-04,Friday,99,9773.864944296149,17.338173681547836,Cloudy,,11450.332012791925,7127.503828711739,8359.499500207607,310.08379041945926,98.72590852824392
2022-02-05,Saturday,73,5365.070380965536,-13.312654749565333,Snow,,9773.864944296149,2023.9324122992432,8836.80492430279,191.98572017555972,73.49411480774707
2022-02-06,Sunday,144,9956.582852839612,8.13295392507133,Cloudy,,5365.070380965536,14555.487460295228,8179.818551809132,440.65320443184896,69.14293647805286
2022-02-07,Monday,199,14721.356878753508,-24.395051858196634,Sunny,,9956.582852839612,11182.755056678845,8685.333097819797,652.8656387869793,73.97666773242969
2022-02-08,Tuesday,150,10093.096810996325,-14.922790733476457,Sunny,,14721.356878753508,2898.150209349781,9713.182612340734,481.27345462391963,67.28731207330884
2022-02-09,Wednesday,188,13997.7726337719,7.952918538036853,Sunny,,10093.096810996325,6631.9744057420785,10765.439502059278,502.35277510750876,74.45623741368031
2022-02-10,Thursday,153,9407.810047386109,16.076998699931156,Cloudy,,13997.7726337719,11450.332012791925,10473.650649858448,531.2802598531358,61.48895455807914
2022-02-11,Friday,44,1992.8050032805859,7.570524217849558,Sunny,,9407.810047386109,9773.864944296149,9362.070658284796,129.74780041285067,45.291022801831495
2022-02-12,Saturday,160,6146.768936930766,3.2652757641763923,Sunny,,1992.8050032805859,5365.070380965536,9473.741880565543,425.4440005984418,38.41730585581729
2022-02-13,Sunday,136,4730.605706267119,0.4834445661606681,Cloudy,,6146.768936930766,9956.582852839612,8727.173716769474,364.5066225614281,34.783865487258225
2022-02-14,Monday,155,7506.9762537222205,-17.177829855511412,Sunny,Valentine's Day,4730.605706267119,14721.356878753508,7696.5479131935745,402.72642378930743,48.432104862724
2022-02-15,Tuesday,168,5582.413116588229,-5.79766312592063,Cloudy,,7506.9762537222205,10093.096810996325,7052.164528278133,554.991042217069,33.228649503501366
2022-02-16,Wednesday,44,3066.8860021517075,-1.9095815643968121,Sunny,,5582.413116588229,13997.7726337719,5490.609295189533,115.36934175016135,69.70195459435699
2022-02-17,Thursday,98,4887.063146581349,20.856833393283736,Sunny,,3066.8860021517075,9407.810047386109,4844.788309360282,257.2622751998912,49.867991291646426
2022-02-18,Friday,87,7631.416981250027,10.154274343526922,Cloudy,,4887.063146581349,1992.8050032805859,5650.30430621306,291.4910304841929,87.71743656609226
2022-02-19,Saturday,192,6757.797332963914,-21.44560233044101,Sunny,,7631.416981250027,6146.768936930766,5737.594077074938,546.1639842139314,35.196861109187054
2022-02-20,Sunday,31,1421.1827427210246,9.861259540921925,Cloudy,,6757.797332963914,4730.605706267119,5264.8193679969245,78.45659503355024,45.84460460390402
2022-02-21,Monday,51,4136.978745111821,-0.776234206244748,Sunny,,1421.1827427210246,7506.9762537222205,4783.391152481154,130.14666027543896,81.11723029631021
2022-02-22,Tuesday,147,10571.737369786128,-5.153830004589381,Sunny,,4136.978745111821,5582.413116588229,5496.151760080853,388.3990556654726,71.9165807468444
2022-02-23,Wednesday,115,3969.1547335557984,14.175144332613018,Rain,,10571.737369786128,3066.8860021517075,5625.04729313858,312.0402350172043,34.51438898744173
2022-02-24,Thursday,111,10146.150582150296,20.464992837439265,Cloudy,,3969.1547335557984,4887.063146581349,6376.345498219858,351.331227560463,91.40676200135402
2022-02-25,Friday,160,14625.331743653209,18.96920178674298,Cloudy,,10146.150582150296,7631.416981250027,7375.47617856317,425.17220480029255,91.40832339783256
2022-02-26,Saturday,50,2656.4280135652084,-7.588262848339578,Sunny,,14625.331743653209,6757.797332963914,6789.566275791926,130.9437195588536,53.12856027130417
2022-02-27,Sunday,97,5221.3556763435445,0.3618143622317813,Cloudy,,2656.4280135652084,1421.1827427210246,7332.448123452287,316.6777567231991,53.82840903446953
2022-02-28,Monday,39,3870.0474182959747,9.968951471053458,Sunny,,5221.3556763435445,4136.978745111821,7294.315076764308,123.67115607053665,99.23198508451217
